Outlines,Metadata_Plate,Metadata_Well,Metadata_Site
16767/Plate_D07_s3_w1B3A84D1A-E8C5-4485-9BBF-5759E003B6B5_Cells_389.tiff,16767,D07,3
16767/Plate_A02_s2_w168605796-72A5-4E53-BE8A-F8AEABD6D0D5_Cells_394.tiff,16767,A02,2
16767/Plate_E01_s2_w14BF89A35-7240-4DCD-A06E-623A658D7489_Cells_6.tiff,16767,E01,2
16767/Plate_C02_s1_w18702AA7E-A714-4A64-A89A-6DE27E76A687_Cells_59.tiff,16767,C02,1
16767/Plate_D11_s2_w13913E3CF-F535-41E4-9EFD-E365901B5C4B_Cells_66.tiff,16767,D11,2
16767/Plate_A03_s1_w1CE64FC64-3818-4516-AB0A-008705541833_Cells_18.tiff,16767,A03,1
16767/Plate_A11_s2_w166474385-88DF-4053-B34B-3EA2BBA170C1_Cells_211.tiff,16767,A11,2
16767/Plate_A08_s2_w1DCC730B8-3538-4C0B-B55A-91449B7D6905_Cells_282.tiff,16767,A08,2
16767/Plate_E02_s2_w12081946A-F180-4E83-A802-733639220D39_Cells_293.tiff,16767,E02,2
16767/Plate_A11_s2_w166474385-88DF-4053-B34B-3EA2BBA170C1_Cells_69.tiff,16767,A11,2
16767/Plate_D08_s2_w19F69ED55-613D-493C-A330-202E7519FF91_Cells_646.tiff,16767,D08,2
16767/Plate_D09_s3_w14EF45B49-9650-4B9A-A178-4F28F238019E_Cells_410.tiff,16767,D09,3
16767/Plate_A09_s1_w13388C7B5-FD37-4472-A7D5-4103C69E7442_Cells_54.tiff,16767,A09,1
16767/Plate_E01_s2_w14BF89A35-7240-4DCD-A06E-623A658D7489_Cells_261.tiff,16767,E01,2
16767/Plate_C03_s3_w1CC0C2471-640D-42BD-813C-0751DD2BDBD5_Cells_57.tiff,16767,C03,3
16767/Plate_D05_s1_w11EDD6258-80DC-49BD-9217-4125B9461BB2_Cells_446.tiff,16767,D05,1
16767/Plate_D03_s3_w1F1D65530-1691-41AC-9959-65B0DAD7420A_Cells_314.tiff,16767,D03,3
16767/Plate_B07_s3_w167DF264A-0302-4E1E-99D7-9A6B82A5FB87_Cells_272.tiff,16767,B07,3
16767/Plate_F02_s3_w1DBF8CC88-CBC5-494A-9494-019ABB145ED2_Cells_37.tiff,16767,F02,3
16767/Plate_D08_s1_w12E756D23-1F64-4B9B-BD85-47B3369A73D2_Cells_249.tiff,16767,D08,1
16767/Plate_D09_s2_w16AAD8931-11C7-4242-8C33-0E3A5D28A0C9_Cells_240.tiff,16767,D09,2
16767/Plate_F02_s3_w1DBF8CC88-CBC5-494A-9494-019ABB145ED2_Cells_126.tiff,16767,F02,3
16767/Plate_B07_s1_w1CD77D7EC-1782-4C2D-9FC0-38EE8F9198C9_Cells_29.tiff,16767,B07,1
16767/Plate_B09_s3_w154A7B91E-0693-4CD7-8E75-57A6D4BB9828_Cells_330.tiff,16767,B09,3
16767/Plate_B02_s2_w1FF179B41-1A2A-48DB-AE07-E72881017240_Cells_288.tiff,16767,B02,2
16767/Plate_A04_s2_w182E75623-8905-4072-943A-DD9C211F98A8_Cells_164.tiff,16767,A04,2
16767/Plate_D04_s2_w10BA73956-9B99-41DE-A86F-DB5BEC11B7F1_Cells_190.tiff,16767,D04,2
16767/Plate_D03_s3_w1F1D65530-1691-41AC-9959-65B0DAD7420A_Cells_252.tiff,16767,D03,3
16767/Plate_D03_s2_w152F88079-426A-44F0-B395-6E15A071B6F6_Cells_571.tiff,16767,D03,2
16767/Plate_B09_s2_w1F1B7DC57-055D-4930-AC79-55FFBF64204E_Cells_421.tiff,16767,B09,2
16767/Plate_F02_s3_w1DBF8CC88-CBC5-494A-9494-019ABB145ED2_Cells_31.tiff,16767,F02,3
16767/Plate_D02_s2_w156B61FE4-ED55-41DC-AB5C-FB302277680C_Cells_544.tiff,16767,D02,2
16767/Plate_D09_s3_w14EF45B49-9650-4B9A-A178-4F28F238019E_Cells_776.tiff,16767,D09,3
16767/Plate_F01_s2_w17CB10594-0ECE-4BAB-A4EB-AC5330CACEED_Cells_380.tiff,16767,F01,2
16767/Plate_D09_s1_w1CC49C08C-8029-4E85-A050-10D7FE6392BE_Cells_616.tiff,16767,D09,1
